epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.252,2.30642,3.40354,2.29328,0.02828,0.10938,0.00949,0.00405,2.45556,28.0561,2.80432,0.000664151,0.000664151,0.000664151
2,632.012,2.4177,3.34009,2.56637,0.22052,0.08594,0.04237,0.01738,3.18468,4.15804,3.29702,0.00130447,0.00130447,0.00130447
3,1042.66,2.39226,3.28486,2.57517,0.72121,0.33203,0.38519,0.20207,2.25494,2.89839,2.72644,0.00191838,0.00191838,0.00191838
4,1699.78,2.32812,3.16143,2.56728,0.50527,0.35156,0.35505,0.16138,2.1987,2.8727,2.62714,0.0018812,0.0018812,0.0018812
5,2336.75,2.21644,3.01093,2.46193,0.63666,0.41068,0.43978,0.22008,2.09515,2.64133,2.49045,0.0018416,0.0018416,0.0018416
6,3051.87,2.19472,2.93584,2.43509,0.71392,0.49219,0.50473,0.27602,1.97922,2.35133,2.4255,0.001802,0.001802,0.001802
7,3289.56,2.12018,2.81584,2.39731,0.75516,0.52344,0.53554,0.28118,1.91315,2.39331,2.43641,0.0017624,0.0017624,0.0017624
8,3592.53,2.09809,2.83158,2.33739,0.8423,0.54246,0.58932,0.33154,1.84759,2.06522,2.32499,0.0017228,0.0017228,0.0017228
9,4026.87,2.02104,2.68179,2.29195,0.91455,0.46484,0.55461,0.31606,1.83229,2.08092,2.30341,0.0016832,0.0016832,0.0016832
10,4291.67,1.99794,2.66194,2.29104,0.87297,0.53687,0.59519,0.33312,1.95315,2.04928,2.4196,0.0016436,0.0016436,0.0016436
11,4743.04,2.00926,2.64556,2.29427,0.89203,0.55469,0.59187,0.33067,1.81729,2.10773,2.31077,0.001604,0.001604,0.001604
12,4977.59,1.97977,2.54665,2.23077,0.9479,0.55469,0.59938,0.34584,1.77401,1.91856,2.23625,0.0015644,0.0015644,0.0015644
13,5272.65,1.93167,2.43085,2.21392,0.94224,0.57351,0.61988,0.3693,1.74749,1.86585,2.20722,0.0015248,0.0015248,0.0015248
14,5582.95,1.92589,2.39736,2.21249,0.94715,0.56002,0.60392,0.34992,1.71318,1.91021,2.22244,0.0014852,0.0014852,0.0014852
15,5741.3,1.90628,2.38364,2.16517,0.8959,0.57153,0.61819,0.36087,1.79111,1.90814,2.23497,0.0014456,0.0014456,0.0014456
16,5911.63,1.88534,2.34632,2.18391,0.90794,0.58203,0.62914,0.36044,1.70767,1.96992,2.21228,0.001406,0.001406,0.001406
17,6081.26,1.83669,2.24625,2.13397,0.93266,0.57422,0.62174,0.37289,1.68991,1.97714,2.20718,0.0013664,0.0013664,0.0013664
18,6253.89,1.812,2.21053,2.08933,0.94554,0.58594,0.64033,0.38517,1.65657,1.73795,2.17301,0.0013268,0.0013268,0.0013268
19,6531.95,1.78998,2.17467,2.07379,0.94673,0.58203,0.62947,0.37903,1.71501,2.05532,2.20839,0.0012872,0.0012872,0.0012872
20,6694.06,1.78205,2.1289,2.07277,0.98331,0.57422,0.6557,0.38962,1.70227,1.73771,2.18446,0.0012476,0.0012476,0.0012476
21,6874.7,1.78138,2.14205,2.08619,0.96904,0.57422,0.63308,0.38658,1.63021,1.79264,2.15598,0.001208,0.001208,0.001208
22,7037.95,1.71766,2.02835,2.037,0.92792,0.58594,0.66024,0.39506,1.67232,1.74916,2.15955,0.0011684,0.0011684,0.0011684
23,7226.57,1.73423,2.03647,2.03411,0.97419,0.5897,0.64704,0.38292,1.64627,1.66164,2.15522,0.0011288,0.0011288,0.0011288
24,7392.99,1.72444,2.06405,2.04572,0.93939,0.58984,0.65109,0.40078,1.67708,1.62287,2.1534,0.0010892,0.0010892,0.0010892
25,7705.73,1.6922,1.94634,2.0047,0.94948,0.58984,0.66265,0.40135,1.64663,1.68243,2.12467,0.0010496,0.0010496,0.0010496
26,7875.76,1.69064,1.95898,1.99436,0.95384,0.59375,0.66758,0.40362,1.639,1.89163,2.15271,0.00101,0.00101,0.00101
27,8115.48,1.65989,1.84053,1.9583,0.93744,0.58531,0.66612,0.41232,1.57801,1.58581,2.07215,0.0009704,0.0009704,0.0009704
28,8274.11,1.66855,1.88401,1.95152,0.98043,0.58716,0.68349,0.42054,1.59261,1.66908,2.07846,0.0009308,0.0009308,0.0009308
29,8443.59,1.65085,1.84652,1.94979,0.96626,0.59375,0.67959,0.4125,1.62351,1.56543,2.12717,0.0008912,0.0008912,0.0008912
30,8689.94,1.62898,1.80028,1.93985,0.96334,0.61595,0.7004,0.42393,1.6249,1.46936,2.0848,0.0008516,0.0008516,0.0008516
31,8844.81,1.58701,1.70229,1.884,0.97304,0.59766,0.69245,0.41522,1.64007,1.51713,2.08179,0.000812,0.000812,0.000812
32,8995.47,1.59302,1.68289,1.88848,0.98632,0.60156,0.69806,0.41639,1.63299,1.51202,2.10922,0.0007724,0.0007724,0.0007724
33,9243.36,1.57127,1.68141,1.88892,0.96767,0.59375,0.67947,0.40874,1.64176,1.52536,2.11,0.0007328,0.0007328,0.0007328
34,11351.3,1.5393,1.68174,1.88762,0.97046,0.59375,0.68465,0.40233,1.61873,1.53516,2.13853,0.0006932,0.0006932,0.0006932
35,12156.3,1.5336,1.63639,1.86479,0.97489,0.60156,0.70601,0.42359,1.65318,1.49695,2.10301,0.0006536,0.0006536,0.0006536
36,12897.3,1.49093,1.53711,1.82803,0.98704,0.59478,0.70327,0.43276,1.58854,1.47033,2.08366,0.000614,0.000614,0.000614
37,13686.5,1.4904,1.56125,1.82882,0.95679,0.59766,0.70569,0.42573,1.60182,1.45176,2.03531,0.0005744,0.0005744,0.0005744
38,14246.3,1.49414,1.51805,1.81973,0.9832,0.60547,0.71165,0.42897,1.61965,1.47736,2.08109,0.0005348,0.0005348,0.0005348
39,14657.6,1.46285,1.48101,1.79681,0.9417,0.61328,0.70775,0.43743,1.63347,1.48804,2.05812,0.0004952,0.0004952,0.0004952
40,15077.1,1.43856,1.41825,1.76921,0.92529,0.625,0.71434,0.44521,1.58835,1.44393,2.03397,0.0004556,0.0004556,0.0004556
41,15438.8,1.40272,1.29132,1.83575,0.96719,0.61719,0.72023,0.44285,1.59108,1.44044,2.04743,0.000416,0.000416,0.000416
42,15627.3,1.3508,1.22289,1.81111,0.94061,0.61869,0.72343,0.44777,1.56606,1.39547,2.02971,0.0003764,0.0003764,0.0003764
43,16085.6,1.36459,1.22169,1.81755,0.97455,0.60547,0.72661,0.44885,1.55358,1.39657,1.98305,0.0003368,0.0003368,0.0003368
44,16624.8,1.33951,1.18033,1.80154,0.94604,0.6164,0.73763,0.45615,1.57659,1.32366,2.06594,0.0002972,0.0002972,0.0002972
45,16940.7,1.32276,1.10765,1.78514,0.94362,0.65234,0.73607,0.45475,1.59386,1.31126,2.05578,0.0002576,0.0002576,0.0002576
46,17235.7,1.28812,1.08808,1.75847,0.92165,0.63672,0.73324,0.45345,1.6042,1.33074,2.10413,0.000218,0.000218,0.000218
47,17387.3,1.27896,1.06726,1.73096,0.95395,0.625,0.74268,0.46195,1.54773,1.35014,2.01655,0.0001784,0.0001784,0.0001784
48,17542.2,1.26931,1.0644,1.72354,0.92685,0.64341,0.74984,0.47055,1.53186,1.31737,1.97816,0.0001388,0.0001388,0.0001388
49,17837,1.25361,1.02307,1.71335,0.91119,0.66016,0.74698,0.47483,1.56281,1.28717,2.02231,9.92e-05,9.92e-05,9.92e-05
50,18013.5,1.23573,1.02929,1.70321,0.95631,0.65234,0.75413,0.4778,1.54757,1.27974,2.01227,5.96e-05,5.96e-05,5.96e-05
